INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
40786179,40786179,0,0,10,40786179,7504989167,0,0,0,0,40786179,0,0,0,0,0,0,3,0.000,-0.835,0.000,1.172
40788678,40788678,0,0,21,40788678,7504991746,2499,2579,0,79,40788678,2499,0,0,0,0,0,3,0.000,-0.837,0.000,1.175
40791177,40791177,0,0,9,40791177,7504992245,2499,499,0,0,40791177,2499,0,0,0,0,0,3,0.000,-0.840,0.000,1.180
40793676,40793676,0,0,4,40793676,7504992510,2499,265,0,0,40793676,2499,0,0,0,0,0,3,0.000,-0.841,0.000,1.183
40796175,40796175,0,0,3,40796175,7504992653,2499,143,0,0,40796175,2499,0,0,0,0,0,3,0.000,-0.839,0.000,1.183
40798674,40798674,0,0,5,40798674,7504992799,2499,146,0,0,40798674,2499,0,0,0,0,0,3,0.000,-0.841,0.000,1.186
40801173,40801173,0,0,5,40801173,7504993084,2499,285,0,0,40801173,2499,0,0,0,0,0,3,0.000,-0.844,0.000,1.192
40803672,40803672,0,0,2,40803672,7504993222,2499,138,0,0,40803672,2499,0,0,0,0,0,3,0.000,-0.847,0.000,1.194
40806171,40806171,0,0,3,40806171,7504993322,2499,100,0,0,40806171,2499,0,0,0,0,0,3,0.000,-0.845,0.000,1.193
40808670,40808670,0,0,2,40808670,7504993421,2499,99,0,0,40808670,2499,0,0,0,0,0,3,0.000,-0.847,0.000,1.196
40811169,40811169,0,0,3,40811169,7504993729,2499,308,0,0,40811169,2499,0,0,0,0,0,3,0.000,-0.851,0.000,1.202
40813668,40813668,0,0,2,40813668,7504993818,2499,89,0,0,40813668,2499,0,0,0,0,0,3,0.000,-0.852,0.000,1.205
40816167,40816167,0,0,3,40816167,7504993906,2499,88,0,0,40816167,2499,0,0,0,0,0,3,0.000,-0.851,0.000,1.202
