INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
72690079,72690079,0,0,10,72690079,9480995659,0,0,0,0,72690079,0,72690079,9480995234,0,425,0,4,0.000,-3.109,0.000,3.868
72692578,72692578,0,0,8,72692578,9481000356,2499,4697,0,2197,72692578,2499,72692578,9480999938,0,418,0,4,0.000,-3.112,0.000,3.872
72695077,72695077,0,833,7,72695077,9481005524,2499,5168,0,2668,72695077,2499,72695077,9481004176,0,1348,0,4,0.000,-3.118,0.000,3.877
72697576,72697576,0,0,8,72697576,9481009518,2499,3994,0,1494,72697576,2499,72697576,9481008144,0,1374,0,4,0.000,-3.122,0.000,3.883
72700075,72700075,0,0,11,72700075,9481012172,2499,2654,0,154,72700075,2499,72700075,9481011915,0,257,0,4,0.000,-3.110,0.000,3.872
72703407,72703407,0,0,9,72703407,9481018472,3332,6300,832,3800,72703407,3332,72703407,9481017682,0,790,0,4,0.000,-3.116,0.000,3.881
72705906,72705906,0,0,10,72705906,9481022813,2499,4341,0,1841,72705906,2499,72705906,9481022275,0,538,0,4,0.000,-3.119,0.000,3.886
72708405,72708405,0,0,10,72708405,9481028573,2499,5760,0,3260,72708405,2499,72708405,9481027557,0,1016,0,4,0.000,-3.124,0.000,3.893
72710904,72710904,0,0,8,72710904,9481032416,2499,3843,0,1343,72710904,2499,72710904,9481032394,0,22,0,4,0.000,-3.114,0.000,3.880
72713403,72713403,0,0,8,72713403,9481037894,2499,5478,0,2978,72713403,2499,72713403,9481037472,0,422,0,4,0.000,-3.119,0.000,3.887
72715902,72715902,0,0,5,72715902,9481042443,2499,4549,0,2049,72715902,2499,72715902,9481041968,0,475,0,4,0.000,-3.123,0.000,3.891
