configuration,run,source_file,mission_completed,navigation_samples,nav3_samples,post200_samples,post6s_samples,navigation_duration_wall_s,navigation_duration_sim_s,navigation_velocity_rmse_cm_s,navigation_velocity_max_error_cm_s,nav3_velocity_rmse_cm_s,nav3_velocity_max_error_cm_s,post200_velocity_rmse_cm_s,post200_velocity_max_error_cm_s,post6s_velocity_rmse_cm_s,post6s_velocity_max_error_cm_s,post200_control_interval_mean_ms,post200_control_interval_max_ms,post200_wpnav_elapsed_mean_ms,post200_wpnav_elapsed_max_ms,post200_state_temporal_displacement_mean_ms,post200_state_temporal_displacement_max_ms,post200_producer_age_mean_ms,post200_producer_age_max_ms,post200_ins_unchanged_percent,post6s_control_interval_mean_ms,post6s_control_interval_max_ms,post6s_wpnav_elapsed_mean_ms,post6s_wpnav_elapsed_max_ms,post6s_state_temporal_displacement_mean_ms,post6s_state_temporal_displacement_max_ms,post6s_producer_age_mean_ms,post6s_producer_age_max_ms,post6s_ins_unchanged_percent
A-E0,1,E0_exp_log_run1.csv,1,22815,5512,200,2388,57.061493,57.034677,46.26237991051087,104.85932801615698,49.0733746957824,104.85932801615698,24.62904978536525,38.72641611355229,73.06511758357524,104.85932801615698,2.5775649999999994,32.885,0.005465,0.081,0.0,0.0,,,100.0,2.503861390284757,32.885,0.005497068676716918,0.158,0.0,0.0,,,100.0
A-E0,2,E0_exp_log_run2.csv,1,22801,5504,200,2393,57.01054,56.999691,46.28643194874414,105.34627122494655,48.94888850253621,104.688374736644,24.197099698310954,37.913944163064855,72.76847037805973,104.688374736644,2.5279450000000003,33.096,0.00451,0.023,0.0,0.0,,,100.0,2.501372335979941,33.096,0.004801086502298371,0.115,0.0,0.0,,,100.0
A-E0,3,E0_exp_log_run3.csv,1,22802,5504,200,2407,57.75626,57.00219,46.31222608793472,104.90207094237938,48.935677987074904,104.80366148183946,24.22017809730143,38.02212757066598,72.55799473499415,104.80366148183946,2.47519,32.088,0.005335000000000001,0.028,0.0,0.0,,,100.0,2.4901312837557126,32.922,0.0052970502700457,0.338,0.0,0.0,,,100.0
A-E1,1,E1_exp_log_run1.csv,1,22791,5520,200,2432,57.203118,56.975534,46.32363152157137,105.4937563128738,49.113508102211334,105.41191555037788,24.83027938133198,38.65965888364773,72.61442217919934,105.41191555037788,2.45326,32.773,0.007010000000000001,0.032,0.0,0.0,,,100.0,2.4648482730263157,34.651,0.007797286184210527,0.976,0.0,0.0,,,100.0
A-E1,2,E1_exp_log_run2.csv,1,22815,5504,200,2361,57.311669,57.034677,46.250555068770865,104.81429814677003,48.92095096211633,104.81429814677003,24.380296254967863,38.322078675353715,73.1015211503591,104.81429814677003,2.3867450000000003,33.611,0.00664,0.021,0.0,0.0,,,100.0,2.5414371029224907,37.067,0.00634858110969928,0.187,0.0,0.0,,,100.0
A-E1,3,E1_exp_log_run3.csv,1,22821,5520,200,2378,58.133321,57.050504,46.29185888639234,105.22274256072212,49.02649640591617,105.22274256072212,24.964503047927874,38.70200724768679,73.13745544953902,105.22274256072212,2.6396749999999995,32.69,0.00857,0.104,0.0,0.0,,,100.0,2.522417998317914,34.705,0.011444070647603029,4.969,0.0,0.0,,,100.0
A-E2,1,E2_exp_log_run1.csv,1,22723,5496,200,1343,102.733549,57.812699,45.89210647919181,104.8490003052008,48.40884513603539,103.90212876067555,24.460439341618542,38.61996841013726,76.68393120993949,103.90212876067555,4.557265,8.313,0.013574999999999999,0.148,0.179095,0.833,0.04998,0.833,100.0,4.472643070044709,9.448,0.01164259121370067,0.263,0.20158227848101262,0.833,0.058347242921013405,0.833,100.0
A-E2,2,E2_exp_log_run2.csv,1,22756,5512,200,1302,106.552277,57.713572,46.020338690310616,105.52099569280038,48.65279776752022,105.0038941801684,24.8434876558224,38.67162371817353,76.6356010420586,105.0038941801684,4.478280000000001,7.284,0.015370000000000003,0.038,0.15827,0.833,0.04998,0.833,100.0,4.610483102918587,12.569,0.014829493087557604,0.267,0.18489784946236557,0.833,0.062059139784946225,0.833,100.0
A-E2,3,E2_exp_log_run3.csv,1,22756,5504,200,1318,103.383127,57.786043,45.96157072572912,105.48328081738832,48.64865808035281,105.48328081738832,24.432315685276336,38.718944781592384,76.82688737547618,105.48328081738832,4.600420000000001,8.615,0.014770000000000004,0.045,0.17492999999999997,0.833,0.037485,0.833,100.0,4.557179954441914,10.677,0.014218512898330806,0.351,0.218046282245827,0.833,0.043642369020501136,0.833,100.0
A-E3-30,1,E3-30_exp_log_run1.csv,1,22672,5416,200,185,111.631977,60.585756,49.77094110073242,210.69076447960407,62.395592647745296,210.69076447960407,102.50884501727155,195.53794294202856,102.66208181252259,195.53794294202856,32.30359,35.003,30.452495000000003,32.074,16.922394999999998,20.825,0.05414499999999999,0.833,100.0,32.289518918918915,35.003,30.461254054054056,32.074,16.903145945945944,19.992,0.05403243243243243,0.833,100.0
