configuration,run,source_file,mission_start_row,mission_end_row,transition_2_to_3_row,csv_parser,rows_read,complete_time_rows,rows_with_missing_nav_or_time,wall_time_monotonic,sim_time_monotonic
A-E0,1,E0_exp_log_run1.csv,6131,28945,16963,c,33270,33270,0,True,True
A-E0,2,E0_exp_log_run2.csv,10609,33409,21437,c,36177,36176,1,True,True
A-E0,3,E0_exp_log_run3.csv,9863,32664,20690,c,37306,37305,1,True,True
A-E1,1,E1_exp_log_run1.csv,31481,54271,42309,c,57234,57234,0,True,True
A-E1,2,E1_exp_log_run2.csv,6731,29545,17565,c,35046,35046,0,True,True
A-E1,3,E1_exp_log_run3.csv,17966,40786,28809,c,46400,46400,0,True,True
A-E2,1,E2_exp_log_run1.csv,6100,28822,16915,c,31432,31431,1,True,True
A-E2,2,E2_exp_log_run2.csv,7270,30025,18096,c,32232,32232,0,True,True
A-E2,3,E2_exp_log_run3.csv,7575,30330,18397,c,44546,44545,1,True,True
A-E3-30,1,E3-30_exp_log_run1.csv,6871,29542,17703,c,31345,31344,1,True,True
A-E3-30,2,E3-30_exp_log_run2.csv,9206,31895,20033,c,33629,33629,0,True,True
A-E3-30,3,E3-30_exp_log_run3.csv,6755,29404,17580,c,30971,30970,1,True,True
A-E3-50,1,E3-50_exp_log_run1.csv,8386,36338,19199,c,38059,38058,1,True,True
A-E3-50,2,E3-50_exp_log_run2.csv,5972,32989,16785,c,36235,36234,1,True,True
A-E3-50,3,E3-50_exp_log_run3.csv,9589,36570,20407,c,38144,38143,1,True,True
A-E4,1,E4_exp_log_run1.csv,6270,29027,17084,c,31176,31175,1,True,True
A-E4,2,E4_exp_log_run2.csv,5965,28719,16797,c,30170,30169,1,True,True
A-E4,3,E4_exp_log_run3.csv,6153,28894,16974,c,30429,30429,0,True,True
