tf_send_time_sec,scan_time_sec,tf_stamp_sec,hook,temporal_displacement_ms,tf_stamp_lag_ms,requested_delay_us,measured_delay_us,delay_error_us
2.387000000,2.331000000,2.831000000,map_odom_tf_new_pose,56.000000000,-444.000000000,0,363,363
2.565000000,2.532000000,3.032000000,map_odom_tf_republish,33.000000000,-467.000000000,0,127,127
2.765000000,2.731000000,3.231000000,map_odom_tf_republish,34.000000000,-466.000000000,0,63,63
2.965000000,2.931000000,3.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,184,184
3.165000000,3.131000000,3.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,533,533
3.366000000,3.331000000,3.831000000,map_odom_tf_republish,35.000000000,-465.000000000,0,917,917
3.565000000,3.531000000,4.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,78,78
3.765000000,3.731000000,4.231000000,map_odom_tf_republish,34.000000000,-466.000000000,0,116,116
3.966000000,3.931000000,4.431000000,map_odom_tf_republish,35.000000000,-465.000000000,0,540,540
4.165000000,4.132000000,4.632000000,map_odom_tf_republish,33.000000000,-467.000000000,0,153,153
4.365000000,4.331000000,4.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,203,203
4.565000000,4.531000000,5.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,406,406
4.765000000,4.731000000,5.231000000,map_odom_tf_republish,34.000000000,-466.000000000,0,171,171
4.965000000,4.931000000,5.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,318,318
5.165000000,5.131000000,5.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,228,228
5.365000000,5.331000000,5.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,563,563
5.566000000,5.531000000,6.031000000,map_odom_tf_republish,35.000000000,-465.000000000,0,392,392
5.766000000,5.731000000,6.231000000,map_odom_tf_republish,35.000000000,-465.000000000,0,431,431
5.966000000,5.931000000,6.431000000,map_odom_tf_republish,35.000000000,-465.000000000,0,57,57
6.165000000,6.131000000,6.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,57,57
6.365000000,6.331000000,6.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,651,651
6.565000000,6.531000000,7.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,445,445
6.765000000,6.731000000,7.231000000,map_odom_tf_republish,34.000000000,-466.000000000,0,541,541
6.965000000,6.931000000,7.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,142,142
7.165000000,7.131000000,7.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,172,172
7.365000000,7.331000000,7.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,181,181
7.565000000,7.531000000,8.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,534,534
7.765000000,7.731000000,8.231000000,map_odom_tf_republish,34.000000000,-466.000000000,0,415,415
7.965000000,7.931000000,8.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,291,291
8.165000000,8.131000000,8.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,303,303
8.365000000,8.331000000,8.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,269,269
8.565000000,8.531000000,9.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,526,526
8.766000000,8.731000000,9.231000000,map_odom_tf_republish,35.000000000,-465.000000000,0,2995,2995
8.982000000,8.931000000,9.431000000,map_odom_tf_new_pose,51.000000000,-449.000000000,0,177,177
9.165000000,9.131000000,9.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,141,141
9.365000000,9.331000000,9.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,187,187
9.565000000,9.531000000,10.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,315,315
9.766000000,9.731000000,10.231000000,map_odom_tf_republish,35.000000000,-465.000000000,0,232,232
9.965000000,9.931000000,10.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,711,711
10.165000000,10.131000000,10.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,57,57
10.366000000,10.332000000,10.832000000,map_odom_tf_republish,34.000000000,-466.000000000,0,441,441
10.565000000,10.531000000,11.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,145,145
10.765000000,10.731000000,11.231000000,map_odom_tf_republish,34.000000000,-466.000000000,0,480,480
10.965000000,10.931000000,11.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,404,404
11.166000000,11.131000000,11.631000000,map_odom_tf_republish,35.000000000,-465.000000000,0,511,511
11.365000000,11.331000000,11.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,477,477
11.565000000,11.531000000,12.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,257,257
11.767000000,11.731000000,12.231000000,map_odom_tf_republish,36.000000000,-464.000000000,0,1721,1721
11.965000000,11.931000000,12.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,385,385
12.165000000,12.131000000,12.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,529,529
12.365000000,12.331000000,12.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,270,270
12.566000000,12.531000000,13.031000000,map_odom_tf_republish,35.000000000,-465.000000000,0,190,190
12.766000000,12.731000000,13.231000000,map_odom_tf_republish,35.000000000,-465.000000000,0,475,475
12.965000000,12.931000000,13.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,179,179
13.165000000,13.131000000,13.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,172,172
13.366000000,13.331000000,13.831000000,map_odom_tf_republish,35.000000000,-465.000000000,0,454,454
13.565000000,13.531000000,14.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,138,138
13.765000000,13.731000000,14.231000000,map_odom_tf_republish,34.000000000,-466.000000000,0,322,322
13.965000000,13.931000000,14.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,383,383
14.166000000,14.131000000,14.631000000,map_odom_tf_republish,35.000000000,-465.000000000,0,259,259
14.366000000,14.331000000,14.831000000,map_odom_tf_republish,35.000000000,-465.000000000,0,251,251
14.566000000,14.531000000,15.031000000,map_odom_tf_republish,35.000000000,-465.000000000,0,158,158
14.766000000,14.731000000,15.231000000,map_odom_tf_republish,35.000000000,-465.000000000,0,151,151
14.965000000,14.931000000,15.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,169,169
15.166000000,15.131000000,15.631000000,map_odom_tf_republish,35.000000000,-465.000000000,0,227,227
15.365000000,15.331000000,15.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,359,359
15.565000000,15.531000000,16.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,216,216
15.765000000,15.731000000,16.231000000,map_odom_tf_republish,34.000000000,-466.000000000,0,199,199
15.965000000,15.931000000,16.431000000,map_odom_tf_republish,34.000000000,-466.000000000,0,133,133
16.165000000,16.131000000,16.631000000,map_odom_tf_republish,34.000000000,-466.000000000,0,156,156
16.365000000,16.331000000,16.831000000,map_odom_tf_republish,34.000000000,-466.000000000,0,245,245
16.565000000,16.531000000,17.031000000,map_odom_tf_republish,34.000000000,-466.000000000,0,183,183
16.765000000,16.731000000,17.231000000,map_odom_tf_republish,34.000000000,-466.000000000,0,312,312
16.965000000,16.932000000,17.432000000,map_odom_tf_republish,33.000000000,-467.000000000,0,252,252
17.165000000,17.134000000,17.634000000,map_odom_tf_republish,31.000000000,-469.000000000,0,203,203
17.366000000,17.332000000,17.832000000,map_odom_tf_republish,34.000000000,-466.000000000,0,415,415
