tf_send_time_sec,scan_time_sec,tf_stamp_sec,hook,temporal_displacement_ms,tf_stamp_lag_ms,requested_delay_us,measured_delay_us,delay_error_us
2.180000000,1.922000000,2.422000000,map_odom_tf_new_pose,258.000000000,-242.000000000,200000,200210,210
2.380000000,2.122000000,2.622000000,map_odom_tf_republish,258.000000000,-242.000000000,200000,200443,443
2.574000000,2.322000000,2.822000000,map_odom_tf_republish,252.000000000,-248.000000000,200000,200285,285
2.769000000,2.522000000,3.022000000,map_odom_tf_republish,247.000000000,-253.000000000,200000,200307,307
2.961000000,2.722000000,3.222000000,map_odom_tf_republish,239.000000000,-261.000000000,200000,200153,153
3.142000000,2.922000000,3.422000000,map_odom_tf_republish,220.000000000,-280.000000000,200000,200721,721
3.356000000,3.122000000,3.622000000,map_odom_tf_republish,234.000000000,-266.000000000,200000,200456,456
3.556000000,3.322000000,3.822000000,map_odom_tf_republish,234.000000000,-266.000000000,200000,200255,255
3.752000000,3.522000000,4.022000000,map_odom_tf_republish,230.000000000,-270.000000000,200000,200608,608
3.957000000,3.725000000,4.225000000,map_odom_tf_republish,232.000000000,-268.000000000,200000,200109,109
4.149000000,3.922000000,4.422000000,map_odom_tf_republish,227.000000000,-273.000000000,200000,200146,146
4.350000000,4.122000000,4.622000000,map_odom_tf_republish,228.000000000,-272.000000000,200000,200153,153
4.547000000,4.322000000,4.822000000,map_odom_tf_republish,225.000000000,-275.000000000,200000,200177,177
4.753000000,4.522000000,5.022000000,map_odom_tf_republish,231.000000000,-269.000000000,200000,200166,166
4.960000000,4.722000000,5.222000000,map_odom_tf_republish,238.000000000,-262.000000000,200000,200224,224
5.152000000,4.923000000,5.423000000,map_odom_tf_republish,229.000000000,-271.000000000,200000,200144,144
5.357000000,5.122000000,5.622000000,map_odom_tf_republish,235.000000000,-265.000000000,200000,200160,160
5.555000000,5.322000000,5.822000000,map_odom_tf_republish,233.000000000,-267.000000000,200000,200191,191
5.752000000,5.522000000,6.022000000,map_odom_tf_republish,230.000000000,-270.000000000,200000,200519,519
5.956000000,5.722000000,6.222000000,map_odom_tf_republish,234.000000000,-266.000000000,200000,200582,582
