event_index,costmap_name,ros_before_sleep_sec,ros_update_start_sec,ros_update_complete_sec,ros_elapsed_during_sleep_ms,nominal_update_period_ms,previous_update_age_before_refresh_ms,update_duration_ms,update_completion_interval_ms,update_temporal_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,local_costmap,1.878000000,3.874000000,3.874000000,1996.000000000,100.000000000,-1.000000000,0.256142000,-1.000000000,-1.000000000,2000000,2002140,2140
1,local_costmap,3.874000000,5.868000000,5.868000000,1994.000000000,100.000000000,2000.318349000,1.996758000,2002.315107000,1902.315107000,2000000,2000048,48
2,local_costmap,5.870000000,7.876000000,7.877000000,2006.000000000,100.000000000,2001.361774000,1.694799000,2003.056573000,1903.056573000,2000000,2000056,56
3,local_costmap,7.877000000,9.862000000,9.862000000,1985.000000000,100.000000000,2000.800405000,1.433749000,2002.234154000,1902.234154000,2000000,2000627,627
4,local_costmap,9.862000000,11.856000000,11.858000000,1994.000000000,100.000000000,2000.216834000,1.529651000,2001.746485000,1901.746485000,2000000,2000057,57
5,local_costmap,11.858000000,13.846000000,13.849000000,1988.000000000,100.000000000,2000.219804000,2.993752000,2003.213556000,1903.213556000,2000000,2000059,59
6,local_costmap,13.851000000,15.848000000,15.849000000,1997.000000000,100.000000000,2001.572450000,2.366682000,2003.939132000,1903.939132000,2000000,2000062,62
7,local_costmap,15.852000000,17.844000000,17.844000000,1992.000000000,100.000000000,2000.503444000,1.650556000,2002.154000000,1902.154000000,2000000,2000057,57
8,local_costmap,17.844000000,19.834000000,19.834000000,1990.000000000,100.000000000,2000.240570000,1.723737000,2001.964307000,1901.964307000,2000000,2000078,78
9,local_costmap,19.834000000,21.826000000,21.826000000,1992.000000000,100.000000000,2000.230247000,2.068970000,2002.299217000,1902.299217000,2000000,2000059,59
10,local_costmap,21.826000000,23.802000000,23.815000000,1976.000000000,100.000000000,2000.240531000,14.267093000,2014.507624000,1914.507624000,2000000,2000059,59
11,local_costmap,23.815000000,25.800000000,25.835000000,1985.000000000,100.000000000,2000.490290000,35.119311000,2035.609601000,1935.609601000,2000000,2000059,59
12,local_costmap,25.835000000,27.804000000,27.805000000,1969.000000000,100.000000000,2001.035127000,1.720125000,2002.755252000,1902.755252000,2000000,2000085,85
13,local_costmap,27.805000000,29.781000000,29.808000000,1976.000000000,100.000000000,2000.224211000,26.153417000,2026.377628000,1926.377628000,2000000,2000059,59
14,local_costmap,29.808000000,31.800000000,31.817000000,1992.000000000,100.000000000,2000.360209000,15.979420000,2016.339629000,1916.339629000,2000000,2000056,56
15,local_costmap,31.817000000,33.801000000,33.803000000,1984.000000000,100.000000000,2000.298051000,2.325637000,2002.623688000,1902.623688000,2000000,2000057,57
16,local_costmap,33.804000000,35.792000000,35.797000000,1988.000000000,100.000000000,2000.387460000,7.149211000,2007.536671000,1907.536671000,2000000,2000123,123
17,local_costmap,35.800000000,37.791000000,37.792000000,1991.000000000,100.000000000,2000.507820000,2.798529000,2003.306349000,1903.306349000,2000000,2000036,36
18,local_costmap,37.792000000,39.771000000,39.815000000,1979.000000000,100.000000000,2000.601474000,41.189790000,2041.791264000,1941.791264000,2000000,2000393,393
19,local_costmap,39.815000000,41.795000000,41.804000000,1980.000000000,100.000000000,2000.293478000,9.768822000,2010.062300000,1910.062300000,2000000,2000061,61
20,local_costmap,41.805000000,43.759000000,43.759000000,1954.000000000,100.000000000,2000.434006000,1.654759000,2002.088765000,1902.088765000,2000000,2000057,57
21,local_costmap,43.759000000,45.734000000,45.739000000,1975.000000000,100.000000000,2000.679011000,3.921294000,2004.600305000,1904.600305000,2000000,2000523,523
22,local_costmap,45.739000000,47.732000000,47.732000000,1993.000000000,100.000000000,2000.415870000,1.669403000,2002.085273000,1902.085273000,2000000,2000060,60
23,local_costmap,47.732000000,49.708000000,49.708000000,1976.000000000,100.000000000,2000.224899000,1.691934000,2001.916833000,1901.916833000,2000000,2000057,57
24,local_costmap,49.709000000,51.384000000,51.384000000,1675.000000000,100.000000000,2000.489062000,1.891751000,2002.380813000,1902.380813000,2000000,2000063,63
