cycle_start_time_sec,planner_call_time_sec,command_ready_time_sec,command_publish_time_sec,hook,requested_delay_us,measured_delay_us,delay_error_us,scheduling_displacement_ms,planner_computation_us,command_ready_latency_ms,command_publish_latency_ms,valid_command,cmd_linear_x,cmd_linear_y,cmd_angular_z
20.992000000,21.482000000,21.526000000,21.526000000,inside_local_costmap_mutex,500000,500027,27,490.000000000,46977,534.000000000,534.000000000,1,0.127368420,0.000000655,0.205137879
21.530000000,22.017000000,22.037000000,22.037000000,inside_local_costmap_mutex,500000,500169,169,487.000000000,23998,507.000000000,507.000000000,1,0.201773047,0.000000000,0.498108953
22.037000000,22.537000000,22.567000000,22.567000000,inside_local_costmap_mutex,500000,500205,205,500.000000000,31911,530.000000000,530.000000000,1,0.205648765,0.000000000,0.734226346
22.567000000,23.067000000,23.090000000,23.090000000,inside_local_costmap_mutex,500000,500315,315,500.000000000,24455,523.000000000,523.000000000,1,0.219999999,0.000000000,1.054240942
23.090000000,23.576000000,23.614000000,23.614000000,inside_local_costmap_mutex,500000,500438,438,486.000000000,47474,524.000000000,524.000000000,1,0.206341714,0.000000000,0.736828148
23.617000000,24.123000000,24.159000000,24.161000000,inside_local_costmap_mutex,500000,500343,343,506.000000000,36021,542.000000000,544.000000000,1,0.205778122,0.000000000,0.431865782
24.162000000,24.651000000,24.679000000,24.679000000,inside_local_costmap_mutex,500000,500377,377,489.000000000,24225,517.000000000,517.000000000,1,0.163581625,0.000000000,0.127318367
24.679000000,25.171000000,25.192000000,25.192000000,inside_local_costmap_mutex,500000,500469,469,492.000000000,23606,513.000000000,513.000000000,1,0.139067560,0.000000000,-0.193021864
25.192000000,25.702000000,25.724000000,25.724000000,inside_local_costmap_mutex,500000,500239,239,510.000000000,20649,532.000000000,532.000000000,1,0.202667609,0.000064288,-0.513200521
25.724000000,26.208000000,26.239000000,26.239000000,inside_local_costmap_mutex,500000,500167,167,484.000000000,30288,515.000000000,515.000000000,1,0.219999999,0.000187965,-0.783383191
26.239000000,26.733000000,26.758000000,26.758000000,inside_local_costmap_mutex,500000,500286,286,494.000000000,30297,519.000000000,519.000000000,1,0.219999999,0.000291316,-0.643989742
26.759000000,27.258000000,27.289000000,27.289000000,inside_local_costmap_mutex,500000,500249,249,499.000000000,30855,530.000000000,530.000000000,1,0.219999999,0.000236621,-0.438059449
27.289000000,27.783000000,27.810000000,27.814000000,inside_local_costmap_mutex,500000,500148,148,494.000000000,29626,521.000000000,525.000000000,1,0.207047850,0.000161566,-0.380644083
27.814000000,28.310000000,28.336000000,28.336000000,inside_local_costmap_mutex,500000,500210,210,496.000000000,27018,522.000000000,522.000000000,1,0.219999999,0.000138019,-0.209411815
28.336000000,28.840000000,28.873000000,28.873000000,inside_local_costmap_mutex,500000,500473,473,504.000000000,31998,537.000000000,537.000000000,1,0.219999999,0.000073677,-0.136096716
28.873000000,29.366000000,29.387000000,29.387000000,inside_local_costmap_mutex,500000,500673,673,493.000000000,22729,514.000000000,514.000000000,1,0.219999999,0.000053182,-0.107786879
29.388000000,29.886000000,29.911000000,29.911000000,inside_local_costmap_mutex,500000,500119,119,498.000000000,26658,523.000000000,523.000000000,1,0.219999999,0.000037832,-0.065880165
29.911000000,30.404000000,30.434000000,30.434000000,inside_local_costmap_mutex,500000,500336,336,493.000000000,31099,523.000000000,523.000000000,1,0.206871614,0.000023381,-0.106250450
30.435000000,30.925000000,30.949000000,30.949000000,inside_local_costmap_mutex,500000,500072,72,490.000000000,23843,514.000000000,514.000000000,1,0.219999999,0.000037904,-0.097747840
30.949000000,31.444000000,31.476000000,31.476000000,inside_local_costmap_mutex,500000,500157,157,495.000000000,32147,527.000000000,527.000000000,1,0.219999999,0.000035469,-0.073104277
31.476000000,31.961000000,31.984000000,31.984000000,inside_local_costmap_mutex,500000,500260,260,485.000000000,27142,508.000000000,508.000000000,1,0.219999999,0.000025801,-0.032544952
31.985000000,32.489000000,32.513000000,32.513000000,inside_local_costmap_mutex,500000,500325,325,504.000000000,26048,528.000000000,528.000000000,1,0.219999999,0.000009939,0.000000000
32.513000000,33.006000000,33.024000000,33.024000000,inside_local_costmap_mutex,500000,500381,381,493.000000000,22284,511.000000000,511.000000000,1,0.219999999,0.000000000,0.024407573
33.024000000,33.521000000,33.544000000,33.544000000,inside_local_costmap_mutex,500000,500162,162,497.000000000,29459,520.000000000,520.000000000,1,0.219999999,0.000016245,0.094450153
33.545000000,34.044000000,34.067000000,34.067000000,inside_local_costmap_mutex,500000,500315,315,499.000000000,26377,522.000000000,522.000000000,1,0.219999999,0.000000000,0.202705741
34.067000000,34.570000000,34.592000000,34.592000000,inside_local_costmap_mutex,500000,500189,189,503.000000000,23706,525.000000000,525.000000000,1,0.219999999,0.000000000,0.358594239
34.593000000,35.081000000,35.107000000,35.107000000,inside_local_costmap_mutex,500000,500362,362,488.000000000,25126,514.000000000,514.000000000,1,0.219999999,0.000000000,0.338912368
35.108000000,35.599000000,35.625000000,35.625000000,inside_local_costmap_mutex,500000,500505,505,491.000000000,27467,517.000000000,517.000000000,1,0.219999999,0.000000000,0.335583985
35.625000000,36.113000000,36.148000000,36.148000000,inside_local_costmap_mutex,500000,500049,49,488.000000000,32853,523.000000000,523.000000000,1,0.219999999,0.000000000,0.360220104
36.148000000,36.644000000,36.680000000,36.680000000,inside_local_costmap_mutex,500000,500427,427,496.000000000,36438,532.000000000,532.000000000,1,0.206668183,0.000000000,0.269505650
36.680000000,37.178000000,37.201000000,37.203000000,inside_local_costmap_mutex,500000,501372,1372,498.000000000,23132,521.000000000,523.000000000,1,0.219999999,0.000000000,0.227749273
37.203000000,37.701000000,37.726000000,37.726000000,inside_local_costmap_mutex,500000,500039,39,498.000000000,25572,523.000000000,523.000000000,1,0.206738263,0.000000000,0.072078198
37.726000000,38.214000000,38.240000000,38.240000000,inside_local_costmap_mutex,500000,500968,968,488.000000000,23069,514.000000000,514.000000000,1,0.219999999,0.000000000,-0.034606118
38.240000000,38.737000000,38.781000000,38.781000000,inside_local_costmap_mutex,500000,500247,247,497.000000000,43365,541.000000000,541.000000000,1,0.219999999,0.000019054,-0.180484310
38.781000000,39.271000000,39.301000000,39.301000000,inside_local_costmap_mutex,500000,500535,535,490.000000000,29778,520.000000000,520.000000000,1,0.206923813,0.000065753,-0.302392691
39.301000000,39.782000000,39.814000000,39.814000000,inside_local_costmap_mutex,500000,500204,204,481.000000000,30969,513.000000000,513.000000000,1,0.219999999,0.000108686,-0.375152469
39.815000000,40.314000000,40.337000000,40.337000000,inside_local_costmap_mutex,500000,500714,714,499.000000000,25364,522.000000000,522.000000000,1,0.207024843,0.000138501,-0.317709178
40.337000000,40.833000000,40.857000000,40.857000000,inside_local_costmap_mutex,500000,500187,187,496.000000000,23587,520.000000000,520.000000000,1,0.206316486,0.000113537,-0.342753977
40.857000000,41.357000000,41.381000000,41.381000000,inside_local_costmap_mutex,500000,500159,159,500.000000000,26475,524.000000000,524.000000000,1,0.192425340,0.000134741,-0.318709463
41.381000000,41.873000000,41.913000000,41.913000000,inside_local_costmap_mutex,500000,500155,155,492.000000000,39496,532.000000000,532.000000000,1,0.190999821,0.000118880,-0.219920307
41.917000000,42.400000000,42.419000000,42.419000000,inside_local_costmap_mutex,500000,500133,133,483.000000000,20379,502.000000000,502.000000000,1,0.190826595,0.000073243,-0.014219455
42.420000000,42.913000000,42.931000000,42.933000000,inside_local_costmap_mutex,500000,500209,209,493.000000000,19984,511.000000000,513.000000000,1,0.205308884,0.000003066,-0.006312716
42.935000000,43.429000000,43.455000000,43.455000000,inside_local_costmap_mutex,500000,500244,244,494.000000000,27355,520.000000000,520.000000000,1,0.122451574,0.000000000,-0.013947916
43.456000000,43.944000000,43.968000000,43.968000000,inside_local_costmap_mutex,500000,500083,83,488.000000000,24127,512.000000000,512.000000000,1,0.110325225,0.000002762,-0.039278843
