event_index,ros_before_sleep_sec,ros_after_sleep_sec,ros_elapsed_during_sleep_ms,nominal_cycle_ms,cycle_interval_ms,cycle_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,45.879000000,47.870000000,1991.000000000,100.000000000,-1.000000000,-1.000000000,2000000,2000058,58
1,47.946000000,49.912000000,1966.000000000,100.000000000,2081.526305000,1981.526305000,2000000,2000058,58
2,49.976000000,51.957000000,1981.000000000,100.000000000,2064.330352000,1964.330352000,2000000,2000062,62
3,52.028000000,54.026000000,1998.000000000,100.000000000,2079.001613000,1979.001613000,2000000,2000058,58
4,54.095000000,56.093000000,1998.000000000,100.000000000,2069.244431000,1969.244431000,2000000,2000084,84
5,56.170000000,58.153000000,1983.000000000,100.000000000,2085.878995000,1985.878995000,2000000,2000060,60
6,58.269000000,60.236000000,1967.000000000,100.000000000,2114.296498000,2014.296498000,2000000,2000185,185
7,60.307000000,62.297000000,1990.000000000,100.000000000,2073.538530000,1973.538530000,2000000,2002160,2160
8,62.363000000,64.357000000,1994.000000000,100.000000000,2068.965044000,1968.965044000,2000000,2000059,59
9,64.422000000,66.393000000,1971.000000000,100.000000000,2066.156653000,1966.156653000,2000000,2000059,59
10,66.532000000,68.511000000,1979.000000000,100.000000000,2141.716511000,2041.716511000,2000000,2000323,323
11,68.654000000,70.643000000,1989.000000000,100.000000000,2152.308870000,2052.308870000,2000000,2000059,59
12,70.724000000,72.711000000,1987.000000000,100.000000000,2079.156548000,1979.156548000,2000000,2000058,58
13,72.792000000,74.778000000,1986.000000000,100.000000000,2083.160751000,1983.160751000,2000000,2000202,202
14,74.864000000,76.852000000,1988.000000000,100.000000000,2083.417028000,1983.417028000,2000000,2002600,2600
15,76.920000000,78.909000000,1989.000000000,100.000000000,2070.312141000,1970.312141000,2000000,2000065,65
16,78.996000000,80.995000000,1999.000000000,100.000000000,2090.037140000,1990.037140000,2000000,2003201,3201
17,81.075000000,83.057000000,1982.000000000,100.000000000,2081.590614000,1981.590614000,2000000,2000060,60
18,83.103000000,85.103000000,2000.000000000,100.000000000,2049.770362000,1949.770362000,2000000,2000058,58
19,85.147000000,87.149000000,2002.000000000,100.000000000,2051.554407000,1951.554407000,2000000,2001141,1141
