event_index,ros_before_sleep_sec,ros_after_sleep_sec,ros_elapsed_during_sleep_ms,nominal_cycle_ms,cycle_interval_ms,cycle_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
0,59.777000000,60.272000000,495.000000000,100.000000000,-1.000000000,-1.000000000,500000,500060,60
1,60.361000000,60.862000000,501.000000000,100.000000000,590.191210000,490.191210000,500000,500058,58
2,60.921000000,61.417000000,496.000000000,100.000000000,559.127008000,459.127008000,500000,500071,71
3,61.463000000,61.962000000,499.000000000,100.000000000,559.198289000,459.198289000,500000,500062,62
4,62.040000000,62.527000000,487.000000000,100.000000000,576.769407000,476.769407000,500000,500063,63
5,62.623000000,63.114000000,491.000000000,100.000000000,589.744401000,489.744401000,500000,500101,101
6,63.232000000,63.723000000,491.000000000,100.000000000,614.537598000,514.537598000,500000,500070,70
7,63.802000000,64.295000000,493.000000000,100.000000000,571.946614000,471.946614000,500000,500063,63
8,64.368000000,64.873000000,505.000000000,100.000000000,576.511008000,476.511008000,500000,501217,1217
9,64.927000000,65.416000000,489.000000000,100.000000000,558.205903000,458.205903000,500000,500060,60
10,65.506000000,65.991000000,485.000000000,100.000000000,585.638606000,485.638606000,500000,500062,62
11,66.109000000,66.599000000,490.000000000,100.000000000,609.306077000,509.306077000,500000,500055,55
12,66.690000000,67.191000000,501.000000000,100.000000000,599.016963000,499.016963000,500000,500060,60
13,67.273000000,67.782000000,509.000000000,100.000000000,582.987328000,482.987328000,500000,500060,60
14,67.840000000,68.337000000,497.000000000,100.000000000,567.278078000,467.278078000,500000,500060,60
15,68.405000000,68.912000000,507.000000000,100.000000000,567.624582000,467.624582000,500000,500305,305
16,68.988000000,69.489000000,501.000000000,100.000000000,583.745773000,483.745773000,500000,500061,61
17,69.572000000,70.069000000,497.000000000,100.000000000,584.811202000,484.811202000,500000,500061,61
18,70.158000000,70.656000000,498.000000000,100.000000000,593.229340000,493.229340000,500000,500018,18
19,70.703000000,71.200000000,497.000000000,100.000000000,545.030036000,445.030036000,500000,500062,62
20,71.274000000,71.770000000,496.000000000,100.000000000,576.052535000,476.052535000,500000,500810,810
21,71.843000000,72.332000000,489.000000000,100.000000000,570.906309000,470.906309000,500000,500061,61
22,72.383000000,72.874000000,491.000000000,100.000000000,548.826646000,448.826646000,500000,500121,121
23,72.963000000,73.459000000,496.000000000,100.000000000,585.941895000,485.941895000,500000,500061,61
24,73.534000000,74.031000000,497.000000000,100.000000000,579.106191000,479.106191000,500000,500058,58
25,74.093000000,74.594000000,501.000000000,100.000000000,559.796491000,459.796491000,500000,500058,58
26,74.670000000,75.171000000,501.000000000,100.000000000,575.575991000,475.575991000,500000,504271,4271
27,75.215000000,75.711000000,496.000000000,100.000000000,545.940950000,445.940950000,500000,500060,60
28,75.758000000,76.258000000,500.000000000,100.000000000,547.664371000,447.664371000,500000,500059,59
29,76.310000000,76.801000000,491.000000000,100.000000000,551.383121000,451.383121000,500000,500089,89
30,76.857000000,77.365000000,508.000000000,100.000000000,558.271410000,458.271410000,500000,500059,59
31,77.414000000,77.917000000,503.000000000,100.000000000,555.725046000,455.725046000,500000,500090,90
32,77.990000000,78.483000000,493.000000000,100.000000000,574.344903000,474.344903000,500000,500058,58
33,78.557000000,79.048000000,491.000000000,100.000000000,572.254187000,472.254187000,500000,500059,59
34,79.114000000,79.613000000,499.000000000,100.000000000,566.210498000,466.210498000,500000,500063,63
35,79.678000000,80.170000000,492.000000000,100.000000000,563.191613000,463.191613000,500000,500065,65
36,80.246000000,80.745000000,499.000000000,100.000000000,576.800920000,476.800920000,500000,500063,63
37,80.795000000,81.288000000,493.000000000,100.000000000,550.034318000,450.034318000,500000,500059,59
38,81.360000000,81.863000000,503.000000000,100.000000000,571.735835000,471.735835000,500000,500060,60
39,81.904000000,82.397000000,493.000000000,100.000000000,551.911394000,451.911394000,500000,500059,59
40,82.397000000,82.904000000,507.000000000,100.000000000,502.533563000,402.533563000,500000,500057,57
41,82.905000000,83.406000000,501.000000000,100.000000000,502.456611000,402.456611000,500000,500065,65
42,83.407000000,83.907000000,500.000000000,100.000000000,502.796105000,402.796105000,500000,500060,60
43,83.910000000,84.400000000,490.000000000,100.000000000,504.923655000,404.923655000,500000,500059,59
44,84.400000000,84.904000000,504.000000000,100.000000000,500.630595000,400.630595000,500000,500059,59
45,84.904000000,85.405000000,501.000000000,100.000000000,500.441243000,400.441243000,500000,500068,68
