experiment,delay_ms,n,success_count,collision_count,recovery_count,timeout_count,log_available_count,mission_duration_s__n,mission_duration_s__median,mission_duration_s__min,mission_duration_s__max,mission_duration_s__mean,mission_duration_s__stdev,observation_duration_s__n,observation_duration_s__median,observation_duration_s__min,observation_duration_s__max,observation_duration_s__mean,observation_duration_s__stdev,odom_path_length_m__n,odom_path_length_m__median,odom_path_length_m__min,odom_path_length_m__max,odom_path_length_m__mean,odom_path_length_m__stdev,minimum_scan_m__n,minimum_scan_m__median,minimum_scan_m__min,minimum_scan_m__max,minimum_scan_m__mean,minimum_scan_m__stdev,mean_abs_linear_cmd_m_s__n,mean_abs_linear_cmd_m_s__median,mean_abs_linear_cmd_m_s__min,mean_abs_linear_cmd_m_s__max,mean_abs_linear_cmd_m_s__mean,mean_abs_linear_cmd_m_s__stdev,mean_abs_angular_cmd_rad_s__n,mean_abs_angular_cmd_rad_s__median,mean_abs_angular_cmd_rad_s__min,mean_abs_angular_cmd_rad_s__max,mean_abs_angular_cmd_rad_s__mean,mean_abs_angular_cmd_rad_s__stdev,stop_command_fraction__n,stop_command_fraction__median,stop_command_fraction__min,stop_command_fraction__max,stop_command_fraction__mean,stop_command_fraction__stdev,median_cmd_gap_ms__n,median_cmd_gap_ms__median,median_cmd_gap_ms__min,median_cmd_gap_ms__max,median_cmd_gap_ms__mean,median_cmd_gap_ms__stdev,p95_cmd_gap_ms__n,p95_cmd_gap_ms__median,p95_cmd_gap_ms__min,p95_cmd_gap_ms__max,p95_cmd_gap_ms__mean,p95_cmd_gap_ms__stdev,max_cmd_gap_ms__n,max_cmd_gap_ms__median,max_cmd_gap_ms__min,max_cmd_gap_ms__max,max_cmd_gap_ms__mean,max_cmd_gap_ms__stdev,startup_path_length_5s_m__n,startup_path_length_5s_m__median,startup_path_length_5s_m__min,startup_path_length_5s_m__max,startup_path_length_5s_m__mean,startup_path_length_5s_m__stdev,startup_net_displacement_5s_m__n,startup_net_displacement_5s_m__median,startup_net_displacement_5s_m__min,startup_net_displacement_5s_m__max,startup_net_displacement_5s_m__mean,startup_net_displacement_5s_m__stdev,startup_efficiency_5s__n,startup_efficiency_5s__median,startup_efficiency_5s__min,startup_efficiency_5s__max,startup_efficiency_5s__mean,startup_efficiency_5s__stdev,startup_angular_sign_changes_5s__n,startup_angular_sign_changes_5s__median,startup_angular_sign_changes_5s__min,startup_angular_sign_changes_5s__max,startup_angular_sign_changes_5s__mean,startup_angular_sign_changes_5s__stdev,startup_reverse_cmd_count_5s__n,startup_reverse_cmd_count_5s__median,startup_reverse_cmd_count_5s__min,startup_reverse_cmd_count_5s__max,startup_reverse_cmd_count_5s__mean,startup_reverse_cmd_count_5s__stdev,startup_mean_abs_angular_cmd_rad_s__n,startup_mean_abs_angular_cmd_rad_s__median,startup_mean_abs_angular_cmd_rad_s__min,startup_mean_abs_angular_cmd_rad_s__max,startup_mean_abs_angular_cmd_rad_s__mean,startup_mean_abs_angular_cmd_rad_s__stdev,time_to_first_motion_s__n,time_to_first_motion_s__median,time_to_first_motion_s__min,time_to_first_motion_s__max,time_to_first_motion_s__mean,time_to_first_motion_s__stdev,measured_delay_ms_median__n,measured_delay_ms_median__median,measured_delay_ms_median__min,measured_delay_ms_median__max,measured_delay_ms_median__mean,measured_delay_ms_median__stdev,internal_interval_median_ms__n,internal_interval_median_ms__median,internal_interval_median_ms__min,internal_interval_median_ms__max,internal_interval_median_ms__mean,internal_interval_median_ms__stdev,internal_displacement_median_ms__n,internal_displacement_median_ms__median,internal_displacement_median_ms__min,internal_displacement_median_ms__max,internal_displacement_median_ms__mean,internal_displacement_median_ms__stdev,previous_update_age_ms_median__n,previous_update_age_ms_median__median,previous_update_age_ms_median__min,previous_update_age_ms_median__max,previous_update_age_ms_median__mean,previous_update_age_ms_median__stdev,control_loop_warning_count__n,control_loop_warning_count__median,control_loop_warning_count__min,control_loop_warning_count__max,control_loop_warning_count__mean,control_loop_warning_count__stdev,map_update_warning_count__n,map_update_warning_count__median,map_update_warning_count__min,map_update_warning_count__max,map_update_warning_count__mean,map_update_warning_count__stdev
E1 (T-E0),0,5,5,0,0,0,0,5,23.302000,23.098000,23.697000,23.360000,0.239085,0,,,,,,5,4.419703,4.406368,4.457005,4.423912,0.019659,5,0.257720,0.255836,0.272933,0.260427,0.007118,5,0.190007,0.187336,0.193380,0.190513,0.002352,5,0.290508,0.282444,0.300856,0.291669,0.006684,5,0.021368,0.017021,0.042194,0.023872,0.010461,5,100.000000,100.000000,100.000000,100.000000,0.000000,5,126.000000,124.000000,127.350000,125.520000,1.390414,5,170.000000,143.000000,176.000000,165.000000,13.416408,5,0.932380,0.923077,0.953911,0.937937,0.013909,5,0.871951,0.864161,0.881261,0.871553,0.006760,5,0.930387,0.916301,0.938513,0.929315,0.008652,5,1.000000,1.000000,1.000000,1.000000,0.000000,5,0.000000,0.000000,0.000000,0.000000,0.000000,5,0.398762,0.377926,0.408125,0.396817,0.011314,5,0.172000,0.148000,0.181000,0.167000,0.013982,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
E2 (T-E5),0,3,3,0,0,0,0,3,25.012000,24.235000,30.303000,26.516667,3.301995,0,,,,,,3,4.580047,4.541588,5.280334,4.800657,0.415858,3,0.270735,0.266277,0.280964,0.272659,0.007530,3,0.184660,0.180166,0.189900,0.184909,0.004871,3,0.299059,0.278844,0.305183,0.294362,0.013783,3,0.028926,0.024000,0.029801,0.027576,0.003127,3,100.000000,99.000000,100.000000,99.666667,0.577350,3,134.000000,132.800000,135.000000,133.933333,1.101514,3,211.000000,188.000000,220.000000,206.333333,16.502525,3,0.888404,0.665921,0.889563,0.814629,0.128787,3,0.765652,0.450226,0.781023,0.665634,0.186707,3,0.860706,0.676096,0.879130,0.805311,0.112282,3,3.000000,2.000000,3.000000,2.666667,0.577350,3,4.000000,3.000000,40.000000,15.666667,21.079216,3,0.317820,0.281022,0.390436,0.329760,0.055675,3,0.174000,0.173000,0.190000,0.179000,0.009539,3,0.000000,0.000000,0.000000,0.000000,0.000000,3,100.862862,100.633306,101.088765,100.861644,0.227732,3,0.862862,0.633306,1.088765,0.861644,0.227732,0,,,,,,0,,,,,,0,,,,,
E2 (T-E5),200,3,3,0,0,0,0,3,24.182000,24.153000,25.033000,24.456000,0.499907,0,,,,,,3,4.547820,4.466828,4.564676,4.526441,0.052310,3,0.264779,0.231963,0.266130,0.254291,0.019348,3,0.182200,0.173266,0.185887,0.180451,0.006490,3,0.303687,0.294145,0.329396,0.309076,0.018233,3,0.050000,0.040000,0.061856,0.050619,0.010941,3,246.000000,245.000000,267.000000,252.666667,12.423097,3,265.500000,262.000000,296.000000,274.500000,18.701604,3,290.000000,290.000000,420.000000,333.333333,75.055535,3,0.834276,0.789072,0.905882,0.843077,0.058900,3,0.700338,0.686319,0.812596,0.733084,0.069215,3,0.887547,0.822652,0.897022,0.869073,0.040480,3,1.000000,1.000000,3.000000,1.666667,1.154701,3,1.000000,0.000000,2.000000,1.000000,1.000000,3,0.429273,0.406456,0.497176,0.444302,0.047190,3,0.351000,0.344000,0.355000,0.350000,0.005568,3,200.060000,200.059000,200.061000,200.060000,0.001000,3,248.191200,247.271040,267.942239,254.468160,11.677961,3,148.191200,147.271040,167.942239,154.468160,11.677961,0,,,,,,0,,,,,,0,,,,,
E2 (T-E5),500,3,3,0,0,0,0,3,26.090000,25.726000,27.030000,26.282000,0.672868,0,,,,,,3,4.671547,4.601043,4.838507,4.703699,0.121953,3,0.277201,0.266988,0.285627,0.276605,0.009333,3,0.170823,0.168706,0.173107,0.170879,0.002201,3,0.328218,0.247647,0.331531,0.302465,0.047503,3,0.104167,0.081633,0.115385,0.100395,0.017189,3,542.500000,541.000000,563.000000,548.833333,12.291596,3,569.000000,568.300000,595.700000,577.666667,15.621246,3,645.000000,583.000000,681.000000,636.333333,49.571497,3,0.791302,0.724689,0.811435,0.775809,0.045401,3,0.663626,0.509007,0.703443,0.625359,0.102712,3,0.838651,0.702379,0.866913,0.802648,0.087977,3,1.000000,1.000000,1.000000,1.000000,0.000000,3,0.000000,0.000000,2.000000,0.666667,1.154701,3,0.420716,0.361763,0.451866,0.411448,0.045761,3,0.647000,0.646000,0.681000,0.658000,0.019925,3,500.061000,500.059500,500.061500,500.060667,0.001041,3,548.917239,548.476243,567.624582,555.006021,10.930218,3,448.917239,448.476243,467.624582,455.006021,10.930218,0,,,,,,0,,,,,,0,,,,,
E2 (T-E5),1000,3,1,0,0,2,0,1,66.828000,66.828000,66.828000,66.828000,,2,86.139000,84.974000,87.304000,86.139000,1.647559,3,5.593176,5.374934,6.402835,5.790315,0.541566,3,0.245449,0.234841,0.245925,0.242072,0.006267,3,0.092270,0.038943,0.096542,0.075918,0.032093,3,0.241989,0.179811,0.599894,0.340564,0.226727,3,0.349593,0.347368,0.391304,0.362755,0.024749,3,1030.500000,993.000000,1038.000000,1020.500000,24.109127,3,1073.950000,1054.200000,1083.050000,1070.400000,14.748983,3,1114.000000,1072.000000,1137.000000,1107.666667,32.959571,3,0.516092,0.501141,0.517640,0.511625,0.009112,3,0.198023,0.197250,0.251746,0.215673,0.031243,3,0.383696,0.381056,0.502345,0.422366,0.069277,3,0.000000,0.000000,0.000000,0.000000,0.000000,3,2.000000,2.000000,2.000000,2.000000,0.000000,3,0.333687,0.266578,0.456370,0.352212,0.096242,3,1.145000,1.138000,1.150000,1.144333,0.006028,3,1000.060000,1000.059500,1000.061000,1000.060167,0.000764,3,1048.323691,1002.650238,1053.972658,1034.982196,28.142394,3,948.323691,902.650238,953.972659,934.982196,28.142394,0,,,,,,0,,,,,,0,,,,,
E2 (T-E5),2000,1,0,0,0,1,0,0,,,,,,1,151.765000,151.765000,151.765000,151.765000,,1,12.770120,12.770120,12.770120,12.770120,,1,0.120000,0.120000,0.120000,0.120000,,1,0.104934,0.104934,0.104934,0.104934,,1,0.274307,0.274307,0.274307,0.274307,,1,0.288660,0.288660,0.288660,0.288660,,1,2039.500000,2039.500000,2039.500000,2039.500000,,1,2095.250000,2095.250000,2095.250000,2095.250000,,1,2150.000000,2150.000000,2150.000000,2150.000000,,1,0.398799,0.398799,0.398799,0.398799,,1,0.384094,0.384094,0.384094,0.384094,,1,0.963127,0.963127,0.963127,0.963127,,1,0.000000,0.000000,0.000000,0.000000,,1,0.000000,0.000000,0.000000,0.000000,,1,0.455290,0.455290,0.455290,0.455290,,1,2.159000,2.159000,2.159000,2.159000,,1,2000.059000,2000.059000,2000.059000,2000.059000,,1,2065.726260,2065.726260,2065.726260,2065.726260,,1,1965.726260,1965.726260,1965.726260,1965.726260,,0,,,,,,0,,,,,,0,,,,,
E3 (T-E3),0,3,3,0,0,0,0,3,23.472000,23.303000,23.500000,23.425000,0.106579,0,,,,,,3,4.407054,4.406861,4.469290,4.427735,0.035988,3,0.251382,0.244228,0.253005,0.249538,0.004670,3,0.189961,0.188250,0.191085,0.189765,0.001428,3,0.282189,0.276694,0.304795,0.287893,0.014893,3,0.025641,0.021368,0.029661,0.025557,0.004147,3,100.000000,99.000000,100.000000,99.666667,0.577350,3,135.000000,128.000000,140.000000,134.333333,6.027714,3,199.000000,173.000000,201.000000,191.000000,15.620499,3,0.939081,0.932333,0.939167,0.936860,0.003921,3,0.869155,0.854611,0.872307,0.865358,0.009439,3,0.925453,0.916637,0.928895,0.923662,0.006322,3,1.000000,1.000000,1.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.397787,0.384038,0.407772,0.396533,0.011917,3,0.195000,0.163000,0.202000,0.186667,0.020793,3,0.000000,0.000000,0.000000,0.000000,0.000000,3,101.445229,101.374420,101.566574,101.462074,0.097178,3,1.445229,1.374420,1.566574,1.462074,0.097178,3,92.535545,65.462292,98.354436,85.450758,17.553317,0,,,,,,0,,,,,
E3 (T-E3),200,3,3,0,0,0,0,3,23.397000,23.097000,23.700000,23.398000,0.301501,0,,,,,,3,4.439284,4.422579,4.441097,4.434320,0.010208,3,0.259166,0.253004,0.270102,0.260758,0.008659,3,0.190412,0.188138,0.193866,0.190805,0.002884,3,0.299639,0.286842,0.300356,0.295612,0.007604,3,0.025641,0.021645,0.037815,0.028367,0.008423,3,99.000000,99.000000,100.000000,99.333333,0.577350,3,128.000000,124.750000,142.000000,131.583333,9.166288,3,170.000000,168.000000,177.000000,171.666667,4.725816,3,0.943121,0.913846,0.959660,0.938876,0.023200,3,0.870444,0.837915,0.887099,0.865153,0.025015,3,0.922939,0.916911,0.924389,0.921413,0.003966,3,1.000000,1.000000,1.000000,1.000000,0.000000,3,0.000000,0.000000,1.000000,0.333333,0.577350,3,0.397790,0.392535,0.411933,0.400752,0.010033,3,0.174000,0.142000,0.177000,0.164333,0.019399,3,200.062000,200.062000,200.069000,200.064333,0.004041,3,203.053176,202.777754,203.110598,202.980509,0.177923,3,103.053176,102.777754,103.110598,102.980509,0.177923,3,200.580673,200.565323,200.682290,200.609429,0.063565,0,,,,,,0,,,,,
E3 (T-E3),500,3,3,0,0,0,0,3,23.401000,22.896000,23.618000,23.305000,0.370450,0,,,,,,3,4.431826,4.375420,4.453044,4.420097,0.040119,3,0.261072,0.258778,0.280837,0.266896,0.012128,3,0.191022,0.190468,0.193081,0.191524,0.001377,3,0.291768,0.289151,0.296800,0.292573,0.003888,3,0.029787,0.021834,0.029787,0.027136,0.004592,3,100.000000,99.000000,100.000000,99.666667,0.577350,3,120.700000,120.350000,123.000000,121.350000,1.439618,3,189.000000,150.000000,219.000000,186.000000,34.597688,3,0.949044,0.869571,0.959111,0.925909,0.049049,3,0.880820,0.799888,0.888480,0.856396,0.049087,3,0.926358,0.919865,0.928112,0.924778,0.004345,3,1.000000,1.000000,5.000000,2.333333,2.309401,3,0.000000,0.000000,2.000000,0.666667,1.154701,3,0.388816,0.382981,0.402479,0.391425,0.010008,3,0.180000,0.138000,0.255000,0.191000,0.059271,3,500.060000,500.060000,500.061000,500.060333,0.000577,3,502.800025,502.577125,502.935894,502.771015,0.181135,3,402.800025,402.577125,402.935894,402.771015,0.181135,3,500.500376,500.373613,500.545719,500.473236,0.089205,0,,,,,,0,,,,,
E3 (T-E3),1000,5,5,0,0,0,0,5,23.600000,23.002000,26.200000,24.160000,1.284058,0,,,,,,5,4.441955,4.392015,4.637144,4.475658,0.099356,5,0.255711,0.236241,0.272938,0.254063,0.016134,5,0.186421,0.184524,0.191486,0.187968,0.003218,5,0.298273,0.289090,0.312463,0.299620,0.008386,5,0.024291,0.019011,0.029536,0.024025,0.003995,5,100.000000,100.000000,100.000000,100.000000,0.000000,5,117.750000,117.500000,119.400000,118.030000,0.786289,5,151.000000,143.000000,192.000000,159.200000,19.188538,5,0.942565,0.488750,0.953344,0.814574,0.202477,5,0.875722,0.255678,0.886882,0.703842,0.274699,5,0.929084,0.523126,0.931082,0.829838,0.176278,5,1.000000,1.000000,7.000000,3.200000,3.033150,5,0.000000,0.000000,15.000000,4.200000,6.572671,5,0.388027,0.352657,0.431110,0.388495,0.028034,5,0.146000,0.144000,0.159000,0.149000,0.006205,5,1000.060000,1000.058000,1000.065000,1000.060900,0.002608,5,1003.254361,1002.200418,1007.003157,1003.676783,1.964307,5,903.254361,902.200418,907.003157,903.676783,1.964307,5,1000.399162,1000.272426,1000.464999,1000.376299,0.088745,0,,,,,,0,,,,,
