experiment,delay_ms,n_runs,success_count,aborted_count,no_result_count,mission_duration_s__mean_across_runs,mission_duration_s__stdev_across_runs,mission_duration_s__median_across_runs,mission_duration_s__min_across_runs,mission_duration_s__max_across_runs,observation_duration_s__mean_across_runs,observation_duration_s__stdev_across_runs,observation_duration_s__median_across_runs,observation_duration_s__min_across_runs,observation_duration_s__max_across_runs,odom_path_length_m__mean_across_runs,odom_path_length_m__stdev_across_runs,odom_path_length_m__median_across_runs,odom_path_length_m__min_across_runs,odom_path_length_m__max_across_runs,minimum_scan_m__mean_across_runs,minimum_scan_m__stdev_across_runs,minimum_scan_m__median_across_runs,minimum_scan_m__min_across_runs,minimum_scan_m__max_across_runs,stop_command_fraction__mean_across_runs,stop_command_fraction__stdev_across_runs,stop_command_fraction__median_across_runs,stop_command_fraction__min_across_runs,stop_command_fraction__max_across_runs,mean_cmd_gap_ms__mean_across_runs,mean_cmd_gap_ms__stdev_across_runs,mean_cmd_gap_ms__median_across_runs,mean_cmd_gap_ms__min_across_runs,mean_cmd_gap_ms__max_across_runs,median_cmd_gap_ms__mean_across_runs,median_cmd_gap_ms__stdev_across_runs,median_cmd_gap_ms__median_across_runs,median_cmd_gap_ms__min_across_runs,median_cmd_gap_ms__max_across_runs,p95_cmd_gap_ms__mean_across_runs,p95_cmd_gap_ms__stdev_across_runs,p95_cmd_gap_ms__median_across_runs,p95_cmd_gap_ms__min_across_runs,p95_cmd_gap_ms__max_across_runs,max_cmd_gap_ms__mean_across_runs,max_cmd_gap_ms__stdev_across_runs,max_cmd_gap_ms__median_across_runs,max_cmd_gap_ms__min_across_runs,max_cmd_gap_ms__max_across_runs,measured_delay_ms_mean__mean_across_runs,measured_delay_ms_mean__stdev_across_runs,measured_delay_ms_mean__median_across_runs,measured_delay_ms_mean__min_across_runs,measured_delay_ms_mean__max_across_runs,pose_temporal_displacement_ms_mean__mean_across_runs,pose_temporal_displacement_ms_mean__stdev_across_runs,pose_temporal_displacement_ms_mean__median_across_runs,pose_temporal_displacement_ms_mean__min_across_runs,pose_temporal_displacement_ms_mean__max_across_runs,tf_temporal_displacement_ms_mean__mean_across_runs,tf_temporal_displacement_ms_mean__stdev_across_runs,tf_temporal_displacement_ms_mean__median_across_runs,tf_temporal_displacement_ms_mean__min_across_runs,tf_temporal_displacement_ms_mean__max_across_runs,tf_future_margin_ms_mean__mean_across_runs,tf_future_margin_ms_mean__stdev_across_runs,tf_future_margin_ms_mean__median_across_runs,tf_future_margin_ms_mean__min_across_runs,tf_future_margin_ms_mean__max_across_runs,scheduling_displacement_ms_mean__mean_across_runs,scheduling_displacement_ms_mean__stdev_across_runs,scheduling_displacement_ms_mean__median_across_runs,scheduling_displacement_ms_mean__min_across_runs,scheduling_displacement_ms_mean__max_across_runs,planner_computation_ms_mean__mean_across_runs,planner_computation_ms_mean__stdev_across_runs,planner_computation_ms_mean__median_across_runs,planner_computation_ms_mean__min_across_runs,planner_computation_ms_mean__max_across_runs,command_publish_latency_ms_mean__mean_across_runs,command_publish_latency_ms_mean__stdev_across_runs,command_publish_latency_ms_mean__median_across_runs,command_publish_latency_ms_mean__min_across_runs,command_publish_latency_ms_mean__max_across_runs,command_publish_interval_ms_mean__mean_across_runs,command_publish_interval_ms_mean__stdev_across_runs,command_publish_interval_ms_mean__median_across_runs,command_publish_interval_ms_mean__min_across_runs,command_publish_interval_ms_mean__max_across_runs,effective_publish_rate_hz_mean__mean_across_runs,effective_publish_rate_hz_mean__stdev_across_runs,effective_publish_rate_hz_mean__median_across_runs,effective_publish_rate_hz_mean__min_across_runs,effective_publish_rate_hz_mean__max_across_runs,diagnostic_period_exceedance_ratio__mean_across_runs,diagnostic_period_exceedance_ratio__stdev_across_runs,diagnostic_period_exceedance_ratio__median_across_runs,diagnostic_period_exceedance_ratio__min_across_runs,diagnostic_period_exceedance_ratio__max_across_runs,valid_command_ratio__mean_across_runs,valid_command_ratio__stdev_across_runs,valid_command_ratio__median_across_runs,valid_command_ratio__min_across_runs,valid_command_ratio__max_across_runs
T-E1,0,5,5,0,0,23.2802,0.268443104,23.399,22.999,23.6,,,,,,4.42640722,0.020803586,4.435145991,4.400677051,4.449000415,0.253513923,0.019066525,0.261606336,0.220526263,0.268734753,0.026480075,0.004414973,0.029535865,0.021645022,0.029787234,100.000854701,0.005600643,100,99.995652174,100.008547009,100,0,100,100,100,116.36,2.247331751,116,113.55,119.55,145.8,13.084341787,138,135,162,0.495250532,0.057776189,0.499818182,0.4310625,0.569903226,25.27688783,4.998239077,25.483870968,19.181818182,32.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,20,5,5,0,0,28.5104,6.87265173,24.501,23.901,39.948,,,,,,4.855024799,0.570555945,4.503541124,4.421266128,5.719840003,0.236550409,0.051797773,0.26016292,0.150728285,0.281327665,0.025482963,0.007168655,0.024896266,0.017142857,0.032921811,102.807013463,6.519206158,100,99.570833333,114.464183381,100.6,1.341640787,100,100,103,130.16,30.136821332,117,114.8,184,161.8,43.228462846,145,126,225,20.379843507,0.061856801,20.378976744,20.285083333,20.435375,49.340837802,3.782287424,50.361111111,44.473684211,53.860465116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,50,5,5,0,0,25.3212,3.538451738,23.601,23.401,31.602,,,,,,4.567142305,0.278762101,4.449904363,4.427401628,5.065525198,0.258140069,0.008731243,0.254495889,0.250114053,0.268187672,0.02705322,0.003238716,0.028455285,0.022082019,0.029661017,100.003967723,0.002922184,100.004237288,100,100.008163265,100,0,100,100,100,114.65,2.288558498,114.25,112,117,139.4,6.188699379,141,129,144,50.349041342,0.054909158,50.334393939,50.29490625,50.423714286,77.757364719,6.201613041,79.606060606,67.314285714,82.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,100,5,5,0,0,25.6288,3.963672249,24.101,23.544,32.7,,,,,,4.545166879,0.174713017,4.483127154,4.440415901,4.856081417,0.240285829,0.039375002,0.252945691,0.173493877,0.273985803,0.035702313,0.009836018,0.033755274,0.024390244,0.049382716,99.965982064,0.07377813,100,99.834042553,100,100,0,100,100,100,114.45,1.191637529,114,113,116,147.6,26.034592372,141,130,193,100.341742614,0.050173116,100.335666667,100.29528125,100.423818182,120.031881313,6.057424139,118.84375,113.194444444,128.545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,200,5,5,0,0,23.8806,0.37806719,24.1,23.3,24.204,,,,,,4.451332012,0.034563234,4.443747106,4.418742191,4.504508302,0.262407559,0.01175795,0.256244063,0.254092216,0.281898111,0.034166276,0.009724287,0.02991453,0.024793388,0.049382716,99.999135253,0.006184525,100,99.991561181,100.008264463,99.8,0.447213595,100,99,100,115.92,1.758408371,116,114,118.2,140.8,7.791020472,141,132,149,200.390075644,0.132875717,200.384030303,200.2679375,200.607066667,228.294750446,7.820929167,232.566666667,217.941176471,235.84375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,500,5,5,0,0,38.5412,7.830618188,33.7,32.8,50.602,,,,,,4.802162343,0.466748399,4.618840297,4.410519045,5.473121427,0.201521826,0.025862793,0.212924853,0.165627837,0.225799575,0.259560357,0.015751359,0.264880952,0.234449761,0.273100616,101.958875526,1.338208487,101.683453237,100.597014925,104.119341564,100,0,100,100,100,132.01,1.778482499,132,130,134.75,495,259.896133099,441,238,932,500.31857924,0.040559133,500.318702703,500.262742857,500.358882353,594.350523615,23.612058479,585.676470588,578.351351351,635.890909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,1000,5,4,1,0,71.97575,23.96972993,72.752,46.199,96.2,59.298,,59.298,59.298,59.298,4.809838691,0.786014025,4.593010173,3.935444829,5.866224186,0.156904384,0.025526967,0.156955555,0.128128827,0.188294485,0.414431072,0.101897467,0.374647887,0.358974359,0.595785441,141.859988253,21.389026547,141.733333333,113.548944338,169.097888676,99.6,0.894427191,100,98,100,282.14,47.840861196,300,197,311.7,3167.2,1245.344008698,2744,1932,5001,1000.310128312,0.049303855,1000.29862069,1000.261677419,1000.386184615,1443.784128079,197.595895961,1443.135135135,1245.413793103,1647.676923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,0,5,5,0,0,23.8604,1.258031518,23.303,23.198,26.1,,,,,,4.461517896,0.089141516,4.430317402,4.394172385,4.618231179,0.26765368,0.008874051,0.270152152,0.252443165,0.27574569,0.026700681,0.003444825,0.026717557,0.021459227,0.02991453,99.999985295,0.005264097,100,99.99137931,100.004291845,100.1,0.223606798,100,100,100.5,115.93,3.283214888,115,112,119.45,146.4,10.922453937,150,129,158,0.393159705,0.033452949,0.377401294,0.361200913,0.443286822,,,,,,24.644443687,9.224045035,30.184466019,12.603389831,31.988679245,475.355556313,9.224045035,469.815533981,468.011320755,487.396610169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,20,5,5,0,0,24.7796,1.028754976,24.201,23.901,26,,,,,,4.507773212,0.101850715,4.459979858,4.416690346,4.636364249,0.251037949,0.021122445,0.260640204,0.223063365,0.270264,0.02414036,0.005687893,0.020833333,0.019379845,0.032921811,99.976815666,0.058847548,100.004132231,99.871595331,100.0041841,99.8,0.447213595,100,99,100,117.01,1.877631487,117,114,119,142.2,11.649034295,137,136,163,20.373381133,0.021104278,20.365661442,20.349726644,20.404106838,,,,,,48.88929294,2.573918196,49.950757576,46.059561129,51.149377593,451.11070706,2.573918196,450.049242424,448.850622407,453.940438871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E2,50,5,5,0,0,23.7208,0.521403586,23.701,23.202,24.5,,,,,,4.428243028,0.014481651,4.424154563,4.411312767,4.449181425,0.252954084,0.017757087,0.253339678,0.225508586,0.272513151,0.028529167,0.004467728,0.029166667,0.021367521,0.033613445,100.0000037,0.003041338,100,99.995708155,100.004310345,100,0,100,100,100,118.52,1.551450934,118,117,121.1,137.4,8.35463943,135,132,152,50.414380116,0.180519742,50.334204167,50.324841642,50.737092527,,,,,,79.60729244,1.396423639,78.745833333,78.527859238,81.575757576,420.39270756,1.396423639,421.254166667,418.424242424,421.472140762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
