experiment,run_id,delay_ms,run_number,injection_point,bag_file,timing_file,source_bag_path,source_timing_path,bag_duration_s,goal_ros_time_s,result_ros_time_s,mission_duration_s,observation_duration_s,result_from_bag,result_status_text,recovery_indicated_by_status,odom_path_length_m,minimum_scan_m,mean_abs_linear_cmd_m_s,max_abs_linear_cmd_m_s,mean_abs_angular_cmd_rad_s,max_abs_angular_cmd_rad_s,stop_command_fraction,mean_cmd_gap_ms,median_cmd_gap_ms,p95_cmd_gap_ms,max_cmd_gap_ms,mean_scan_age_ms,max_scan_age_ms,mean_amcl_age_ms,max_amcl_age_ms,startup_window_s,startup_path_length_5s_m,startup_net_displacement_5s_m,startup_efficiency_5s,startup_angular_sign_changes_5s,startup_reverse_cmd_count_5s,startup_mean_abs_angular_cmd_rad_s,startup_max_abs_angular_cmd_rad_s,time_to_first_motion_s,odom_messages_mission,scan_messages_mission,amcl_messages_mission,cmd_vel_messages_mission,timing_scope,timing_event_count_total,timing_event_count_condition,timing_event_count_used,requested_delay_ms_from_csv,measured_delay_ms_n,measured_delay_ms_mean,measured_delay_ms_median,measured_delay_ms_stdev,measured_delay_ms_min,measured_delay_ms_p95,measured_delay_ms_max,delay_error_ms_n,delay_error_ms_mean,delay_error_ms_median,delay_error_ms_stdev,delay_error_ms_min,delay_error_ms_p95,delay_error_ms_max,internal_interval_median_ms,internal_interval_max_ms,internal_displacement_median_ms,internal_displacement_max_ms,pose_displacement_scope,pose_displacement_sample_count,te1_legacy_control_rows_excluded,te1_legacy_control_check_mismatches,te1_unknown_hook_rows_excluded,pose_temporal_displacement_ms_n,pose_temporal_displacement_ms_mean,pose_temporal_displacement_ms_median,pose_temporal_displacement_ms_stdev,pose_temporal_displacement_ms_min,pose_temporal_displacement_ms_p95,pose_temporal_displacement_ms_max,tf_temporal_displacement_ms_n,tf_temporal_displacement_ms_mean,tf_temporal_displacement_ms_median,tf_temporal_displacement_ms_stdev,tf_temporal_displacement_ms_min,tf_temporal_displacement_ms_p95,tf_temporal_displacement_ms_max,tf_timestamp_lag_ms_n,tf_timestamp_lag_ms_mean,tf_timestamp_lag_ms_median,tf_timestamp_lag_ms_stdev,tf_timestamp_lag_ms_min,tf_timestamp_lag_ms_p95,tf_timestamp_lag_ms_max,tf_future_margin_ms_n,tf_future_margin_ms_mean,tf_future_margin_ms_median,tf_future_margin_ms_stdev,tf_future_margin_ms_min,tf_future_margin_ms_p95,tf_future_margin_ms_max,nominal_controller_period_ms,scheduling_displacement_ms_n,scheduling_displacement_ms_mean,scheduling_displacement_ms_median,scheduling_displacement_ms_stdev,scheduling_displacement_ms_min,scheduling_displacement_ms_p95,scheduling_displacement_ms_max,planner_computation_ms_n,planner_computation_ms_mean,planner_computation_ms_median,planner_computation_ms_stdev,planner_computation_ms_min,planner_computation_ms_p95,planner_computation_ms_max,command_ready_latency_ms_n,command_ready_latency_ms_mean,command_ready_latency_ms_median,command_ready_latency_ms_stdev,command_ready_latency_ms_min,command_ready_latency_ms_p95,command_ready_latency_ms_max,command_publish_latency_ms_n,command_publish_latency_ms_mean,command_publish_latency_ms_median,command_publish_latency_ms_stdev,command_publish_latency_ms_min,command_publish_latency_ms_p95,command_publish_latency_ms_max,command_publish_interval_ms_n,command_publish_interval_ms_mean,command_publish_interval_ms_median,command_publish_interval_ms_stdev,command_publish_interval_ms_min,command_publish_interval_ms_p95,command_publish_interval_ms_max,effective_publish_rate_hz_n,effective_publish_rate_hz_mean,effective_publish_rate_hz_median,effective_publish_rate_hz_stdev,effective_publish_rate_hz_min,effective_publish_rate_hz_p95,effective_publish_rate_hz_max,diagnostic_period_exceedance_ratio,deadline_miss_ratio,valid_command_ratio,zero_command_publish_intervals,negative_command_publish_intervals_excluded,te4_invalid_rows_excluded,te4_nonincreasing_publish_rows_excluded,te4_timestamp_order_rows_excluded,te4_latency_consistency_rows_excluded
T-E1,te1_0ms_run-01,0,1,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/baseline/baseline_run-1.bag,amcl_pose_publish/baseline/baseline_results-1.csv,results/baseline/baseline_run-1.bag,results/baseline/baseline_results-1.csv,52.653,135.879,159.479,23.6,,SUCCEEDED,Goal reached.,no,4.438880591,0.261606336,0.189003795,0.219999999,0.280092175,1.37,0.029535865,100,100,116,158,0.305084746,2,20.733333333,70,5,0.918024785,0.827189019,0.901053035,1,1,0.385843435,1.300920129,0.137,708,118,30,237,all_matching_callback_events_excluding_legacy_control_row,33,32,32,0,32,0.4310625,0.393,0.265228561,0.065,0.8782,1.311,32,0.4310625,0.393,0.265228561,0.065,0.8782,1.311,,,14.5,69,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,32,1,0,0,32,22.9375,14.5,18.199499284,7,65.7,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_0ms_run-02,0,2,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/baseline/baseline_run-2.bag,amcl_pose_publish/baseline/baseline_results-2.csv,results/baseline/baseline_run-2.bag,results/baseline/baseline_results-2.csv,40.496,95.386,118.785,23.399,,SUCCEEDED,Goal reached.,no,4.408332053,0.261666685,0.188950787,0.219999999,0.311190734,1.603965547,0.029787234,99.995726496,100,117.35,136,0.418803419,6,16.64516129,36,5,0.961362001,0.902308933,0.938573537,1,0,0.380231992,1.216375947,0.136,702,117,31,235,all_matching_callback_events_excluding_legacy_control_row,34,33,33,0,33,0.499818182,0.371,0.66387468,0.077,0.954,3.949,33,0.499818182,0.371,0.66387468,0.077,0.954,3.949,,,15,74,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,33,1,0,0,33,19.181818182,15,16.666685606,2,43.8,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_0ms_run-03,0,3,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/baseline/baseline_run-3.bag,amcl_pose_publish/baseline/baseline_results-3.csv,results/baseline/baseline_run-3.bag,results/baseline/baseline_results-3.csv,48.253,72.057,95.056,22.999,,SUCCEEDED,Goal reached.,no,4.400677051,0.220526263,0.191690425,0.219999999,0.306197487,1.506173165,0.021645022,99.995652174,100,119.55,138,0.339130435,3,32.4,63,5,0.935545266,0.873768047,0.933966617,1,0,0.393022882,1.159026027,0.121,690,115,30,231,all_matching_callback_events_excluding_legacy_control_row,33,32,32,0,32,0.44575,0.3935,0.367270754,0.074,0.82855,2.057,32,0.44575,0.3935,0.367270754,0.074,0.82855,2.057,,,28,63,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,32,1,0,0,32,32.8125,28,12.2195969,24,60.45,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_0ms_run-04,0,4,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/baseline/baseline_run-4.bag,amcl_pose_publish/baseline/baseline_results-4.csv,results/baseline/baseline_run-4.bag,results/baseline/baseline_results-4.csv,32.24,50.587,73.989,23.402,,SUCCEEDED,Goal reached.,no,4.449000415,0.268734753,0.190739812,0.219999999,0.289589029,1.522287266,0.029787234,100.008547009,100,115.35,135,0.401709402,4,24.8,54,5,0.94582523,0.884299105,0.934949794,1,0,0.382979357,1.163819432,0.134,702,117,30,235,all_matching_callback_events_excluding_legacy_control_row,33,32,32,0,32,0.52971875,0.445,0.369791069,0.061,1.2413,1.456,32,0.52971875,0.445,0.369791069,0.061,1.2413,1.456,,,20.5,61,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,32,1,0,0,32,25.96875,20.5,12.957708815,15,51.8,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_0ms_run-05,0,5,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/baseline/baseline_run-5.bag,amcl_pose_publish/baseline/baseline_results-5.csv,results/baseline/baseline_run-5.bag,results/baseline/baseline_results-5.csv,37.114,60.336,83.337,23.001,,SUCCEEDED,Goal reached.,no,4.435145991,0.255035579,0.193526463,0.219999999,0.295642743,1.536611615,0.021645022,100.004347826,100,113.55,162,0.391304348,4,23.344827586,63,5,0.967850053,0.905063319,0.935127622,1,0,0.393206668,1.205808282,0.135,690,115,29,231,all_matching_callback_events_excluding_legacy_control_row,32,31,31,0,31,0.569903226,0.473,0.409265794,0.056,1.3565,1.916,31,0.569903226,0.473,0.409265794,0.056,1.3565,1.916,,,18,65,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,31,1,0,0,31,25.483870968,18,16.679070653,13,62.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_20ms_run-01,20,1,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/delay20/delay20_run-1.bag,amcl_pose_publish/delay20/delay_results-1.csv,results/delay20/delay20_run-1.bag,results/delay20/delay_results-1.csv,31.666,31.916,56.117,24.201,,SUCCEEDED,Goal reached.,no,4.469277583,0.281327665,0.185745336,0.219999999,0.327030265,1.763648068,0.032921811,100.004132231,100,116,126,0.289256198,2,48.441176471,79,5,0.944394556,0.875065306,0.926588682,1,0,0.393173368,1.219803929,0.126,726,121,34,243,all_matching_callback_events_excluding_legacy_control_row,37,36,36,20,36,20.285083333,20.2415,0.168839802,20.036,20.60325,20.649,36,0.285083333,0.2415,0.168839802,0.036,0.60325,0.649,,,46,86,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,36,1,0,0,36,50.361111111,46,12.862243256,39,77,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_20ms_run-02,20,2,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/delay20/delay20_run-2.bag,amcl_pose_publish/delay20/delay_results-2.csv,results/delay20/delay20_run-2.bag,results/delay20/delay_results-2.csv,28.956,65.717,90.218,24.501,,SUCCEEDED,Goal reached.,no,4.503541124,0.263323486,0.186164123,0.219999999,0.295766757,1.535465011,0.032520325,99.995918367,100,114.8,145,0.341463415,4,50.066666667,75,5,0.814686468,0.683546637,0.839030307,5,5,0.37144425,1.199055552,0.131,736,123,30,246,all_matching_callback_events_excluding_legacy_control_row,33,32,32,20,32,20.435375,20.355,0.371706245,20.051,21.2013,21.902,32,0.435375,0.355,0.371706245,0.051,1.2013,1.902,,,46,88,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,32,1,0,0,32,51.4375,46,12.114873557,41,75.35,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_20ms_run-03,20,3,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/delay20/delay20_run-3.bag,amcl_pose_publish/delay20/delay_results-3.csv,results/delay20/delay20_run-3.bag,results/delay20/delay_results-3.csv,49.133,36.435,76.383,39.948,,SUCCEEDED,Goal reached.,no,5.719840003,0.227209687,0.158447299,0.219999999,0.859033865,2.75,0.017142857,114.464183381,103,184,225,0.345,5,44.342342342,76,5,0.668869125,0.454001787,0.678760269,3,27,1.000651079,2.390281439,0.132,1199,200,111,350,all_matching_callback_events_excluding_legacy_control_row,115,114,114,20,114,20.364982456,20.3165,0.237451066,20.047,20.68725,21.927,114,0.364982456,0.3165,0.237451066,0.047,0.68725,1.927,,,43,76,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,114,1,0,0,114,44.473684211,43,6.96033074,33,59.05,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_20ms_run-04,20,4,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/delay20/delay20_run-4.bag,amcl_pose_publish/delay20/delay_results-4.csv,results/delay20/delay20_run-4.bag,results/delay20/delay_results-4.csv,46.487,46.331,76.332,30.001,,SUCCEEDED,Goal reached.,no,5.161199156,0.150728285,0.184861112,0.219999999,0.330140371,1.855497599,0.019933555,100,100,119,187,0.486666667,11,52.975609756,94,5,0.472257346,0.279554436,0.5919536,9,33,0.435975516,1.855497599,0.154,900,150,41,301,all_matching_callback_events_excluding_legacy_control_row,44,43,43,20,43,20.378976744,20.304,0.269332817,20.114,20.6477,21.506,43,0.378976744,0.304,0.269332817,0.114,0.6477,1.506,,,50,94,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,43,1,0,0,43,53.860465116,50,11.173057294,43,77.6,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-E1,te1_20ms_run-05,20,5,AMCL pose publication before pose_pub_.publish(),amcl_pose_publish/delay20/delay20_run-5.bag,amcl_pose_publish/delay20/delay_results-5.csv,results/delay20/delay20_run-5.bag,results/delay20/delay_results-5.csv,33.345,51.119,75.02,23.901,,SUCCEEDED,Goal reached.,no,4.421266128,0.26016292,0.184394304,0.219999999,0.326068278,1.766470733,0.024896266,99.570833333,100,117,126,0.416666667,8,45.303030303,87,5,0.989723867,0.929047838,0.938693981,1,0,0.360961744,1.202680945,0.046,717,120,33,241,all_matching_callback_events_excluding_legacy_control_row,36,35,35,20,35,20.4348,20.293,0.389446274,20.096,21.2512,21.68,35,0.4348,0.293,0.389446274,0.096,1.2512,1.68,,,41,87,all_amcl_pose_publish_events_from_publish_and_scan_timestamps; legacy_numeric_first_row_excluded,35,1,0,0,35,46.571428571,41,14.996638279,34,79.8,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
